label,text,urls
phishing,"URGENT: Your account will be suspended within 24 hours. Click here to verify your information immediately: http://verify-account-secure.com/update","http://verify-account-secure.com/update"
phishing,"Congratulations! You've won $1,000,000. Claim your prize now at www.lottery-winner-2024.net","www.lottery-winner-2024.net"
phishing,"Dear Customer, we detected unusual activity on your account. Please login to secure your account: https://security-alert-login.com/auth","https://security-alert-login.com/auth"
phishing,"Your PayPal account has been limited. Click to restore access: http://paypal-verify-secure.info/restore","http://paypal-verify-secure.info/restore"
phishing,"IRS notification: You owe back taxes. Pay immediately to avoid legal action: https://irs-payment-portal.net/pay","https://irs-payment-portal.net/pay"
phishing,"Your Netflix subscription is expiring. Update payment info: http://netflix-billing-update.com/renew","http://netflix-billing-update.com/renew"
phishing,"Amazon: Your order cannot be shipped. Confirm address: https://amazon-order-confirm.net/verify","https://amazon-order-confirm.net/verify"
phishing,"Bank of America: Verify your identity: http://boa-security-check.com/identity","http://boa-security-check.com/identity"
phishing,"Microsoft: Your Office 365 subscription is expiring. Renew now: https://microsoft-office-renewal.com/bill","https://microsoft-office-renewal.com/bill"
phishing,"Apple ID: Your account has been compromised. Reset password: http://apple-id-secure-reset.com/password","http://apple-id-secure-reset.com/password"
phishing,"Google: Your account has been suspended. Verify now: https://google-account-verify.net/restore","https://google-account-verify.net/restore"
phishing,"eBay: Your listing has been removed. Appeal here: http://ebay-appeal-center.com/appeal","http://ebay-appeal-center.com/appeal"
phishing,"LinkedIn: Your profile is incomplete. Complete now: https://linkedin-profile-complete.net/update","https://linkedin-profile-complete.net/update"
phishing,"Dropbox: Your storage is full. Upgrade now: http://dropbox-storage-upgrade.com/upgrade","http://dropbox-storage-upgrade.com/upgrade"
phishing,"Facebook: Your account will be deleted. Verify now: https://facebook-account-save.net/verify","https://facebook-account-save.net/verify"
safe,"Hi team, just a reminder about our meeting tomorrow at 10 AM. Please bring your project updates.",""
safe,"Thank you for your recent purchase. Your order #12345 has been shipped and will arrive in 3-5 business days.",""
safe,"Here is the quarterly report you requested. Let me know if you have any questions about the data.",""
safe,"I hope you're doing well! I wanted to follow up on our conversation from last week about the new project.",""
safe,"Please review the attached document and provide your feedback by end of day Friday.",""
safe,"Our team has successfully completed the migration to the new server. All systems are operational.",""
safe,"Don't forget to submit your expense reports by the 25th of this month.",""
safe,"The office will be closed next Monday for the holiday. Regular hours will resume on Tuesday.",""
safe,"Congratulations on your promotion! We're excited to see you take on this new role.",""
safe,"Please find attached the invoice for services rendered in March. Payment is due within 30 days.",""
safe,"We're scheduling a team building event for next month. Please vote on your preferred activity.",""
safe,"The software update has been deployed to production. No issues were reported during the rollout.",""
safe,"Reminder: Your dental appointment is scheduled for next Thursday at 2:30 PM.",""
safe,"I've attached the meeting notes from today's discussion. Please review and let me know if I missed anything.",""
safe,"Our client has approved the proposal. We can proceed with the project as planned.",""
safe,"Please update your contact information in the HR portal by the end of the week.",""
safe,"The training session on cybersecurity best practices has been rescheduled to next Wednesday.",""
safe,"Thank you for registering for our upcoming webinar. You'll receive a confirmation email shortly.",""
safe,"Your library books are due back by Friday. Please renew online if you need more time.",""
safe,"We've received your application and will be in touch within 5-7 business days.",""
safe,"The cafeteria menu has been updated for next week. Check the company intranet for details.",""
safe,"Please complete the employee satisfaction survey by the end of the month.",""
safe,"Your parking permit expires next month. Renew online to avoid any interruptions.",""
safe,"We're looking for volunteers for the upcoming charity event. Sign up by Friday if interested.",""
safe,"The new office hours will be 9 AM to 6 PM starting next month.",""
safe,"Please remember to clock in and out using the new time tracking system.",""
safe,"Your health insurance enrollment period ends next week. Make your selections now.",""
safe,"The company picnic is scheduled for August 15th at Central Park. All family members are welcome.",""
